,account_id,games,wins,pos_1_num,pos_2_num,pos_3_num,pos_4_num,pos_5_num,last_hits,denies,kills,deaths,assists
12861,141581042,130,65,20,32,36,23,19,18096,1135,983,953,1314
12862,849631987,20,10,1,3,14,0,2,2563,179,60,65,195
12863,303651573,1,1,1,0,0,0,0,154,23,10,0,4
12864,320789238,1,0,0,0,1,0,0,32,1,4,8,5
12865,117005046,12,5,1,2,8,1,0,1874,98,45,66,151
12866,115464954,46,24,0,0,2,30,14,2672,215,189,251,692
12867,181066490,5,1,0,0,4,1,0,683,28,20,39,79
12868,167500541,3,2,2,1,0,0,0,485,27,37,10,36
12869,171596541,18,12,0,0,2,14,2,502,38,60,85,264
12870,108223231,2,2,0,0,0,2,0,99,5,16,16,50
12871,143842045,1,0,0,0,1,0,0,32,9,0,2,0
12872,126212866,551,314,13,85,391,56,6,95139,4299,2470,3233,7363
12873,235035394,2,1,1,1,0,0,0,646,41,31,12,35
12874,398056202,1,0,1,0,0,0,0,313,18,6,7,6
12875,283073294,1,0,1,0,0,0,0,283,6,4,6,9
12876,132930321,5,1,1,4,0,0,0,861,95,30,32,46
12877,952621842,6,2,4,1,0,0,1,1759,67,42,24,34
12878,99015443,4,0,0,0,3,0,1,125,19,14,24,32
12879,410147602,2,1,0,0,0,0,2,62,7,9,11,24
12880,56351509,375,236,20,88,253,13,1,81902,4084,1492,1500,4876
12881,320854806,33,14,8,19,6,0,0,8256,350,213,105,324
12882,404052757,1,0,0,0,0,0,1,48,0,0,23,1
12883,114547478,1,0,1,0,0,0,0,268,39,1,8,4
12884,156949269,1,0,0,1,0,0,0,391,7,6,5,14
12885,1025366805,76,34,29,30,11,4,2,25493,972,667,489,667
12886,261184280,1,0,1,0,0,0,0,129,11,2,3,6
12887,1040210710,1,1,0,0,0,1,0,33,5,12,2,27
12888,886987547,1,0,0,0,1,0,0,86,14,1,5,2
12889,122641179,2,0,0,0,0,1,1,22,2,1,16,17
12890,167107360,1,0,0,0,0,0,1,4,0,0,9,3
12891,293362465,15,6,0,0,0,3,12,1039,42,48,98,222
12892,169138976,1,0,0,0,0,0,1,25,1,3,8,6
12893,1023990565,1,0,1,0,0,0,0,145,13,3,7,6
12894,216488741,2,1,0,0,0,1,1,82,6,5,24,51
12895,381836070,244,123,96,43,44,36,25,38354,1760,1766,1366,2007
12896,76667686,3,2,0,3,0,0,0,573,39,15,10,35
12897,1016650537,6,4,0,1,1,4,0,401,12,29,29,94
12898,180902698,2,0,0,0,1,1,0,56,8,0,11,0
12899,196631339,31,21,1,10,18,1,1,4279,404,190,110,403
12900,136698664,2,0,0,0,0,2,0,191,6,3,13,14
12901,882694962,1,0,1,0,0,0,0,205,17,7,5,4
12902,989846326,1,0,0,0,0,0,1,23,1,2,11,7
12903,131947324,2,0,0,0,0,1,1,92,14,1,20,16
12904,414538564,2,1,1,0,1,0,0,393,13,21,13,35
12905,1046108997,3,2,0,0,0,2,1,96,12,22,14,49
12906,169892678,6,4,2,3,0,0,1,1465,41,62,18,41
12907,380394316,1,0,0,0,0,1,0,16,0,5,8,4
12908,131128141,3,2,0,0,2,1,0,320,22,15,16,32
12909,1054268238,1,1,0,0,0,0,1,60,3,5,6,27
12910,403888972,2,1,2,0,0,0,0,301,56,21,11,15
12911,9001808,6,3,4,1,0,1,0,1063,47,41,35,70
12912,925490001,1,1,0,0,0,1,0,131,6,14,5,23
12913,241457997,7,5,0,0,0,2,5,483,36,26,20,147
12914,391043923,12,6,0,0,0,2,10,411,20,30,100,190
12915,177396562,2,0,0,0,0,0,2,39,2,4,35,30
12916,290708306,8,0,2,5,0,1,0,1808,57,55,54,86
12917,280157014,7,3,1,5,1,0,0,1219,104,45,29,79
12918,218782551,1,1,0,0,0,0,1,30,1,6,6,22
12919,904649560,1,0,0,0,0,0,1,56,27,7,5,0
