,account_id,games,wins,pos_1_num,pos_2_num,pos_3_num,pos_4_num,pos_5_num,last_hits,denies,kills,deaths,assists,Unnamed: 0,name,estimate_mmr,solo_competetive_rank,leaderboard_rank,calculated_position
1574,153775602,82,36,62,16,3,1,0,295.1341463414634,13.402439024390244,7.7317073170731705,2.9878048780487805,7.597560975609756,1266,Tiares,5443.0,,115.0,1.0
1147,86953944,82,39,25,41,15,1,0,228.6341463414634,12.121951219512194,5.914634146341464,4.170731707317073,8.817073170731707,319,.bobruha.,5667.0,6357.0,907.0,2.0
1666,99611577,81,38,4,0,8,41,28,80.77777777777777,3.037037037037037,3.876543209876543,7.432098765432099,13.925925925925926,502,Filminy,5995.0,5479.0,475.0,4.0
551,157557921,81,37,4,11,5,15,46,95.01234567901234,4.950617283950617,4.111111111111111,6.950617283950617,12.160493827160494,1299,Selfdiscipline,6346.0,6912.0,532.0,5.0
1530,294218576,81,40,0,0,0,17,64,24.74074074074074,2.802469135802469,2.6296296296296298,7.753086419753086,11.962962962962964,1918,ThuGger,5817.0,5256.0,550.0,5.0
1258,404150207,81,35,0,0,5,64,12,62.49382716049383,3.691358024691358,3.432098765432099,6.827160493827161,13.11111111111111,2196,y0nd,6436.0,7117.0,453.0,4.0
1138,347524932,80,39,1,1,1,28,49,41.1375,3.2,2.925,6.95,12.3125,2058,性情中人,6289.0,4462.0,94.0,5.0
465,196878136,80,49,0,0,0,8,72,44.3875,2.3375,3.3625,7.025,15.8625,1615,suzuya,6121.0,5933.0,110.0,5.0
427,219225327,79,46,2,9,52,10,6,148.126582278481,7.69620253164557,4.632911392405063,5.417721518987341,14.39240506329114,1720,Ade,6532.0,7057.0,388.0,3.0
230,136187546,79,33,23,10,2,27,17,145.49367088607596,8.164556962025317,5.89873417721519,4.962025316455696,10.253164556962025,1100,方云华,6548.0,,205.0,4.0
